Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,Date,model_smart_dumb_spread_close,model_percent_bearish_close
-2.763,0.103,-3.065,-2.763,0.0,24.0,1.0,-1.719,3.252,-2.557,-1.194,0.813,3.904,7.998,38.691,2000-01-24,-0.19,0.43
0.606,-2.75,-0.497,0.606,1.0,25.0,1.0,-1.146,3.817,-1.551,-0.561,1.383,1.352,6.669,52.791,2000-01-25,-0.12,0.35
-0.421,-0.122,0.839,-0.421,2.0,26.0,1.0,-1.586,3.391,-1.585,-0.947,0.947,-1.137,5.108,50.512,2000-01-26,-0.08,0.39
-0.394,0.455,-1.4,-0.394,3.0,27.0,1.0,-1.993,2.984,-1.589,-1.294,0.544,-3.515,3.383,48.762,2000-01-27,-0.06,0.39
-2.746,-1.437,-1.767,-2.746,4.0,28.0,1.0,-4.785,0.231,-3.566,-3.991,-2.219,-8.402,1.026,29.456,2000-01-28,0.04,0.26
2.522,-0.292,-0.442,2.522,0.0,31.0,1.0,-2.184,2.658,-0.815,-1.377,0.29,-9.398,-1.059,35.388,2000-01-31,0.13,0.17
1.063,1.299,2.563,1.063,1.0,1.0,2.0,-1.087,3.64,0.196,-0.298,1.312,-8.889,-2.625,43.089,2000-02-01,0.18,0.26
-0.011,0.562,1.332,-0.011,2.0,2.0,2.0,-1.08,3.592,0.148,-0.298,1.275,-8.402,-3.78,44.377,2000-02-02,0.16,0.26
1.125,0.389,-0.332,1.125,3.0,3.0,2.0,0.038,4.633,1.007,0.786,2.326,-6.661,-4.356,43.947,2000-02-03,0.12,0.3
-0.042,0.698,1.572,-0.042,4.0,4.0,2.0,-0.031,4.57,0.772,0.715,2.239,-5.268,-4.539,39.225,2000-02-04,0.1,0.3
-0.009,-0.611,-0.507,-0.009,0.0,7.0,2.0,-0.051,4.538,0.611,0.678,2.186,-4.127,-4.456,41.386,2000-02-07,0.07,0.26
1.227,1.036,0.772,1.227,1.0,8.0,2.0,1.128,5.667,1.452,1.809,3.305,-1.792,-3.923,46.384,2000-02-08,0.04,0.26
-2.082,0.164,-0.885,-2.082,2.0,9.0,2.0,-0.98,3.643,-0.515,-0.268,1.225,-2.337,-3.606,42.151,2000-02-09,0.05,0.17
0.363,-1.549,-0.373,0.363,3.0,10.0,2.0,-0.654,3.969,-0.12,0.091,1.551,-2.328,-3.35,44.34,2000-02-10,0.06,0.26
-2.097,-0.356,-1.935,-2.097,4.0,11.0,2.0,-2.795,1.896,-1.812,-1.969,-0.547,-4.664,-3.613,46.512,2000-02-11,0.15,0.3
0.203,-1.581,0.107,0.203,0.0,14.0,2.0,-2.559,2.076,-1.284,-1.693,-0.336,-6.216,-4.134,45.0,2000-02-14,0.19,0.17
0.871,0.951,-0.319,0.871,1.0,15.0,2.0,-1.628,2.904,-0.328,-0.782,0.52,-6.396,-4.586,49.507,2000-02-15,0.18,0.26
-1.026,-0.219,0.681,-1.026,2.0,16.0,2.0,-2.63,1.878,-1.094,-1.755,-0.501,-7.611,-5.191,47.478,2000-02-16,0.16,0.22
0.043,-0.348,-0.398,0.043,3.0,17.0,2.0,-2.556,1.905,-0.841,-1.645,-0.449,-8.429,-5.839,57.889,2000-02-17,0.15,0.17
-3.038,-0.827,-2.52,-3.038,4.0,18.0,2.0,-5.683,-1.173,-3.2,-4.64,-3.524,-12.337,-7.138,36.995,2000-02-18,0.24,0.17
0.452,-2.172,-0.99,0.452,1.0,22.0,2.0,-5.125,-0.721,-2.189,-4.006,-2.998,-14.774,-8.666,33.888,2000-02-22,0.27,0.22
0.63,0.884,0.785,0.63,2.0,23.0,2.0,-4.384,-0.098,-1.239,-3.223,-2.307,-15.835,-10.1,36.952,2000-02-23,0.3,0.22
-0.534,-0.411,-0.933,-0.534,3.0,24.0,2.0,-4.853,-0.634,-1.426,-3.629,-2.799,-17.065,-11.493,29.791,2000-02-24,0.27,0.22
-1.483,-0.174,-0.059,-1.483,4.0,25.0,2.0,-6.327,-2.137,-2.362,-4.985,-4.26,-19.436,-13.081,26.839,2000-02-25,0.29,0.22
1.102,-0.095,-0.308,1.102,0.0,28.0,2.0,-5.071,-1.017,-0.997,-3.69,-3.062,-19.899,-14.445,31.948,2000-02-28,0.31,0.17
1.363,0.639,1.738,1.363,1.0,29.0,2.0,-3.582,0.331,0.289,-2.206,-1.644,-18.571,-15.27,32.234,2000-02-29,0.29,0.22
0.935,0.985,1.363,0.935,2.0,1.0,3.0,-2.562,1.239,0.969,-1.21,-0.689,-16.299,-15.476,41.65,2000-03-01,0.23,0.26
0.186,0.283,0.285,0.186,3.0,2.0,3.0,-2.319,1.405,0.923,-0.982,-0.491,-14.129,-15.206,40.872,2000-03-02,0.19,0.26
1.984,1.728,0.835,1.984,4.0,3.0,3.0,-0.294,3.3,2.28,0.944,1.434,-10.081,-14.181,55.808,2000-03-03,0.11,0.3
-1.27,-0.076,0.219,-1.27,0.0,6.0,3.0,-1.519,2.038,0.819,-0.317,0.164,-8.221,-12.989,50.327,2000-03-06,0.1,0.3
-2.563,-0.726,-2.541,-2.563,1.0,7.0,3.0,-4.038,-0.548,-1.432,-2.84,-2.414,-9.516,-12.295,39.837,2000-03-07,0.12,0.3
0.817,-1.856,-0.23,0.817,2.0,8.0,3.0,-3.062,0.245,-0.488,-1.928,-1.552,-9.537,-11.743,45.343,2000-03-08,0.19,0.26
2.56,2.055,0.843,2.56,3.0,9.0,3.0,-0.41,2.693,1.616,0.593,0.963,-6.655,-10.725,52.587,2000-03-09,0.18,0.26
-0.472,0.825,2.52,-0.472,4.0,10.0,3.0,-0.788,2.199,0.92,0.116,0.484,-4.848,-9.55,60.934,2000-03-10,0.14,0.26
-0.821,-1.056,-1.922,-0.821,0.0,13.0,3.0,-1.506,1.353,0.08,-0.683,-0.333,-4.291,-8.498,56.856,2000-03-13,0.11,0.35
-1.769,-0.223,-0.452,-1.769,1.0,14.0,3.0,-3.171,-0.444,-1.375,-2.397,-2.097,-5.758,-7.95,49.686,2000-03-14,0.19,0.3
2.428,0.191,-0.158,2.428,2.0,15.0,3.0,-0.635,1.901,0.822,0.029,0.317,-4.209,-7.202,57.143,2000-03-15,0.19,0.22
4.764,4.326,2.591,4.764,3.0,16.0,3.0,3.86,6.306,4.266,4.395,4.753,2.344,-5.293,69.715,2000-03-16,0.09,0.35
0.411,1.246,4.385,0.411,4.0,17.0,3.0,4.169,6.634,3.726,4.599,5.042,7.929,-2.648,68.863,2000-03-17,-0.05,0.3
-0.535,-0.434,-0.328,-0.535,0.0,20.0,3.0,3.58,6.087,2.566,3.925,4.441,11.589,0.199,65.132,2000-03-20,-0.12,0.3
2.557,1.612,-0.165,2.557,1.0,21.0,3.0,5.914,8.375,3.996,6.073,6.688,17.295,3.618,67.778,2000-03-21,-0.14,0.43
0.453,0.744,2.86,0.453,2.0,22.0,3.0,6.281,8.727,3.544,6.242,6.968,22.109,7.316,68.192,2000-03-22,-0.18,0.43
1.78,1.8,0.428,1.78,3.0,23.0,3.0,7.803,10.255,4.184,7.572,8.425,27.759,11.405,68.124,2000-03-23,-0.24,0.39
0.007,1.369,1.546,0.007,4.0,24.0,3.0,7.685,10.188,3.353,7.282,8.264,31.878,15.5,72.088,2000-03-24,-0.23,0.39
-0.236,-1.188,0.117,-0.236,0.0,27.0,3.0,7.37,9.9,2.5,6.786,7.888,34.455,19.291,80.456,2000-03-27,-0.19,0.39
-1.058,-0.486,-0.752,-1.058,1.0,28.0,3.0,6.323,8.865,1.165,5.561,6.766,34.795,22.392,75.072,2000-03-28,-0.15,0.39
0.052,-0.382,-0.656,0.052,2.0,29.0,3.0,6.301,8.844,0.974,5.391,6.68,34.727,24.859,71.621,2000-03-29,-0.15,0.43
-1.366,-0.258,-1.515,-1.366,3.0,30.0,3.0,4.961,7.529,-0.318,3.921,5.281,32.635,26.414,67.785,2000-03-30,-0.15,0.3
0.716,0.154,0.671,0.716,4.0,31.0,3.0,5.566,8.134,0.317,4.424,5.837,31.475,27.426,72.087,2000-03-31,-0.18,0.3
0.493,-0.835,0.172,0.493,0.0,3.0,4.0,5.943,8.531,0.645,4.701,6.175,30.796,28.1,80.19,2000-04-03,-0.19,0.26
-0.746,1.27,-4.698,-0.746,1.0,4.0,4.0,5.111,7.794,-0.082,3.828,5.361,29.017,28.284,73.166,2000-04-04,-0.18,0.17
-0.492,-1.289,4.293,-0.492,2.0,5.0,4.0,4.538,7.287,-0.462,3.221,4.796,26.706,27.968,58.896,2000-04-05,-0.14,0.22
0.939,0.346,0.63,0.939,3.0,6.0,4.0,5.297,8.094,0.378,3.96,5.569,25.705,27.515,60.818,2000-04-06,-0.15,0.22
1.0,0.445,0.939,1.0,4.0,7.0,4.0,6.079,8.937,1.092,4.718,6.375,25.825,27.177,66.815,2000-04-07,-0.18,0.22
-0.784,0.568,0.112,-0.784,0.0,10.0,4.0,5.145,8.155,0.248,3.809,5.523,24.676,26.677,53.478,2000-04-10,-0.18,0.22
-0.257,-0.937,-1.074,-0.257,1.0,11.0,4.0,4.759,7.861,-0.007,3.421,5.175,23.186,25.979,49.983,2000-04-11,-0.16,0.22
-2.227,-0.146,-1.394,-2.227,2.0,12.0,4.0,2.51,5.723,-1.828,1.174,2.956,19.089,24.601,30.716,2000-04-12,-0.12,0.17
-1.817,-2.2,-1.76,-1.817,3.0,13.0,4.0,0.662,3.955,-2.97,-0.63,1.137,13.534,22.387,26.19,2000-04-13,-0.06,0.17
-5.828,-2.494,-7.008,-5.828,4.0,14.0,4.0,-5.384,-1.98,-7.474,-6.588,-4.883,2.331,18.376,18.187,2000-04-14,0.08,0.09
3.308,-2.709,0.544,3.308,0.0,17.0,4.0,-1.977,1.282,-3.226,-3.05,-1.494,-2.893,14.122,31.78,2000-04-17,0.18,0.09
2.866,2.863,3.782,2.866,1.0,18.0,4.0,0.841,4.014,-0.28,-0.172,1.308,-3.748,10.548,39.895,2000-04-18,0.2,0.22
-0.981,0.422,1.978,-0.981,2.0,19.0,4.0,-0.122,3.053,-1.018,-1.118,0.324,-5.503,7.338,40.689,2000-04-19,0.13,0.17
0.495,-0.847,-0.23,0.495,3.0,20.0,4.0,0.34,3.516,-0.416,-0.596,0.799,-6.252,4.62,40.026,2000-04-20,0.09,0.17
-0.326,-0.062,-1.043,-0.326,0.0,24.0,4.0,-0.004,3.191,-0.596,-0.889,0.465,-7.14,2.268,38.045,2000-04-24,0.12,0.26
3.328,3.007,1.614,3.328,1.0,25.0,4.0,3.094,6.282,2.115,2.268,3.597,-3.959,1.023,47.562,2000-04-25,0.09,0.22
-1.113,0.348,1.917,-1.113,2.0,26.0,4.0,1.906,5.204,0.81,1.122,2.462,-2.734,0.271,46.374,2000-04-26,0.12,0.13
0.269,-0.922,-1.538,0.269,3.0,27.0,4.0,2.083,5.436,0.861,1.332,2.67,-1.43,-0.069,44.852,2000-04-27,0.11,0.09
-0.853,0.291,0.95,-0.853,4.0,28.0,4.0,1.152,4.608,0.007,0.465,1.797,-1.388,-0.333,40.899,2000-04-28,0.16,0.13
1.089,0.544,0.273,1.089,0.0,1.0,5.0,2.108,5.619,0.867,1.477,2.798,-0.077,-0.282,44.902,2000-05-01,0.13,0.22
-1.496,-0.89,-0.502,-1.496,1.0,2.0,5.0,0.483,4.172,-0.51,-0.018,1.296,-0.802,-0.386,42.725,2000-05-02,0.13,0.22
-2.157,-1.496,-3.237,-2.157,2.0,3.0,5.0,-1.8,2.047,-2.18,-2.135,-0.862,-3.848,-1.078,42.982,2000-05-03,0.17,0.09
-0.391,-1.782,0.473,-0.391,3.0,4.0,5.0,-2.268,1.652,-2.065,-2.437,-1.233,-6.632,-2.189,45.578,2000-05-04,0.22,0.13
1.636,1.081,0.013,1.636,4.0,5.0,5.0,-0.733,3.21,-0.338,-0.757,0.389,-6.898,-3.131,63.163,2000-05-05,0.2,0.13
-0.591,-0.226,0.837,-0.591,0.0,8.0,5.0,-1.459,2.611,-0.747,-1.302,-0.199,-7.702,-4.045,54.5,2000-05-08,0.16,0.17
-0.845,-0.197,-1.063,-0.845,1.0,9.0,5.0,-2.414,1.759,-1.284,-2.08,-1.032,-9.205,-5.077,43.433,2000-05-09,0.16,0.13
-2.06,-1.236,-1.901,-2.06,2.0,10.0,5.0,-4.592,-0.315,-2.732,-4.062,-3.094,-12.598,-6.581,40.72,2000-05-10,0.22,0.09
1.79,-0.134,0.57,1.79,3.0,11.0,5.0,-2.793,1.434,-0.74,-2.144,-1.256,-13.137,-7.892,44.8,2000-05-11,0.22,0.17
0.934,1.415,1.79,0.934,4.0,12.0,5.0,-1.897,2.318,0.154,-1.152,-0.312,-12.361,-8.786,48.324,2000-05-12,0.2,0.22
2.21,1.549,0.656,2.21,0.0,15.0,5.0,0.247,4.388,1.85,0.995,1.82,-9.107,-8.85,44.97,2000-05-15,0.12,0.26
0.942,1.242,2.379,0.942,1.0,16.0,5.0,1.076,5.233,2.213,1.843,2.682,-5.363,-8.153,51.024,2000-05-16,0.05,0.26
-1.244,-0.297,-0.629,-1.244,2.0,17.0,5.0,-0.298,3.996,0.785,0.583,1.427,-3.823,-7.287,46.719,2000-05-17,0.0,0.22
