Date,cot_spx_close
2024-01-09,3476.6
2024-01-16,20834.4
2024-01-23,22507.4
2024-01-30,29065.2
2024-02-06,32626.0
2024-02-13,30586.6
2024-02-20,28639.8
2024-02-27,28282.8
2024-03-05,24020.2
2024-03-12,28329.2
2024-03-19,21721.0
2024-03-26,14851.2
2024-04-02,-4337.8
2024-04-09,-8450.4
2024-04-16,-37027.6
2024-04-23,-37659.8
2024-04-30,-29691.6
2024-05-07,-18845.4
2024-05-14,-14323.8
2024-05-21,-90897.0
2024-05-28,-20882.8
2024-06-04,-9534.0
2024-06-11,-2408.4
2024-06-18,1892.0
2024-06-25,-8906.0
