Date,insider_ratio_close
2024-01-08,0.1
2024-01-15,0.11
2024-01-22,0.1
2024-01-29,0.1
2024-02-05,0.11
2024-02-12,0.11
2024-02-19,0.11
2024-02-26,0.1
2024-03-04,0.1
2024-03-11,0.09
2024-03-18,0.09
2024-03-25,0.09
2024-04-01,0.09
2024-04-08,0.08
2024-04-15,0.08
2024-04-22,0.08
2024-04-29,0.08
2024-05-06,0.08
2024-05-13,0.07
2024-05-20,0.07
2024-05-27,0.07
2024-06-03,0.07
2024-06-10,0.07
2024-06-17,0.07
2024-06-24,0.07
2024-07-01,0.07
2024-07-08,0.07
