Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,timestamp,model_smart_dumb_spread_close,model_percent_bearish_close
1.416,2.155,2.193,1.871,2.0,31.0,12.0,1.77,-31.146,2.214,-1.361,-11.107,-1.732,-5.133,51.057,2008-12-31,-0.18,0.27
3.161,2.681,1.131,1.616,4.0,2.0,1.0,4.829,-26.931,4.168,1.676,-7.551,2.363,-3.633,65.117,2009-01-02,-0.29,0.29
-0.467,0.203,2.201,2.715,0.0,5.0,1.0,4.317,-27.31,2.975,1.167,-7.896,5.197,-1.867,62.509,2009-01-05,-0.35,0.23
0.782,0.771,0.843,0.878,1.0,6.0,1.0,5.002,-26.1,2.982,1.858,-6.919,7.937,0.093,67.698,2009-01-06,-0.39,0.25
-3.001,-1.738,-2.686,-2.076,2.0,7.0,1.0,1.997,-29.755,-0.016,-1.132,-10.024,7.755,1.626,48.082,2009-01-07,-0.37,0.23
0.34,-1.882,-0.616,-1.811,3.0,8.0,1.0,2.195,-29.079,0.258,-0.759,-9.461,7.77,2.855,51.613,2009-01-08,-0.36,0.2
-2.13,0.212,-0.948,1.073,4.0,9.0,1.0,0.179,-31.644,-1.53,-2.836,-11.609,6.147,3.513,51.538,2009-01-09,-0.3,0.21
-2.256,-2.361,-2.701,-2.458,0.0,12.0,1.0,-1.988,-34.427,-3.099,-5.006,-13.904,3.203,3.451,45.168,2009-01-12,-0.25,0.11
0.176,-1.503,-0.266,-2.379,1.0,13.0,1.0,-1.62,-33.933,-2.335,-4.633,-13.433,0.982,2.957,50.048,2009-01-13,-0.2,0.09
-3.346,-1.111,-2.911,-1.538,2.0,14.0,1.0,-4.838,-38.256,-4.702,-7.931,-17.016,-3.096,1.747,44.546,2009-01-14,-0.14,0.07
0.133,-1.809,-2.377,-1.592,3.0,15.0,1.0,-4.409,-37.762,-3.65,-7.482,-16.527,-6.167,0.164,43.382,2009-01-15,-0.11,0.05
0.756,0.768,1.667,2.104,4.0,16.0,1.0,-3.259,-36.423,-2.298,-6.414,-15.342,-7.993,-1.467,43.908,2009-01-16,-0.07,0.04
-5.282,-0.989,-3.153,-1.89,1.0,20.0,1.0,-8.65,-43.679,-6.402,-11.864,-21.343,-12.915,-3.757,35.901,2009-01-20,-0.03,0.04
4.349,-0.932,-0.021,-2.765,2.0,21.0,1.0,-3.968,-37.374,-1.574,-6.919,-15.963,-13.83,-5.772,39.564,2009-01-21,-0.02,0.05
-1.516,-0.235,0.869,0.216,3.0,22.0,1.0,-5.319,-39.164,-2.51,-8.229,-17.397,-15.406,-7.698,34.324,2009-01-22,0.02,0.02
0.538,-0.135,-0.643,-1.414,4.0,23.0,1.0,-4.546,-38.106,-1.569,-7.35,-16.437,-16.11,-9.381,27.047,2009-01-23,-0.03,0.09
0.555,1.66,2.682,3.186,0.0,26.0,1.0,-3.819,-37.03,-0.807,-6.492,-15.481,-16.109,-10.726,29.135,2009-01-26,-0.02,0.07
1.093,-0.244,0.932,0.847,1.0,27.0,1.0,-2.681,-35.261,0.226,-5.132,-13.951,-15.196,-11.62,29.745,2009-01-27,-0.06,0.14
3.356,3.223,1.237,2.634,2.0,28.0,1.0,0.737,-30.609,2.773,-1.651,-10.048,-12.044,-11.705,42.6,2009-01-28,-0.1,0.29
-3.312,-1.022,-0.187,-0.522,3.0,29.0,1.0,-2.596,-34.794,-0.446,-4.932,-13.544,-11.746,-11.713,36.865,2009-01-29,-0.1,0.11
-2.279,-1.983,-2.663,-1.189,4.0,30.0,1.0,-4.928,-37.611,-2.231,-7.09,-15.872,-12.915,-11.954,36.883,2009-01-30,-0.06,0.05
-0.053,-2.452,-1.071,-4.001,0.0,2.0,2.0,-4.903,-37.357,-1.828,-6.866,-15.618,-13.719,-12.307,40.088,2009-02-02,-0.01,0.07
1.583,1.423,1.121,1.878,1.0,3.0,2.0,-3.344,-34.887,-0.193,-4.997,-13.542,-13.15,-12.475,42.998,2009-02-03,-0.03,0.14
-0.749,1.098,0.876,1.344,2.0,4.0,2.0,-4.315,-35.571,-0.759,-5.562,-14.114,-13.055,-12.591,47.581,2009-02-04,-0.05,0.11
